disease_id,disease_name,aliases,overview,symptoms,home_remedies,precautions,when_to_see_doctor
24,Heart Attack,"myocardial infarction","Heart attack happens when blood flow to heart is blocked. Immediate care is required.","chest pain|sweating|nausea|short breath|arm pain","none immediate","healthy lifestyle","urgent chest pain"
25,Thyroid Disorder,"thyroid problem","Thyroid disorders affect hormone production. It impacts metabolism.","weight change|fatigue|hair loss|mood swings|cold sensitivity","balanced diet","regular tests","severe symptoms"
26,PCOS,"polycystic ovary syndrome","PCOS is a hormonal disorder affecting women. It impacts menstrual cycle and fertility.","irregular periods|acne|weight gain|hair growth|infertility","exercise|healthy diet","weight control","fertility issues"
27,UTI,"urinary tract infection","UTI is infection in urinary system. It causes pain and discomfort.","burning urination|frequent urge|cloudy urine|pelvic pain","drink water|cranberry juice","hygiene","persistent pain"
28,Constipation,"hard stool","Constipation is difficulty passing stool. It affects digestion.","infrequent stool|hard stool|bloating|pain","fiber diet|hydration","exercise","chronic issue"
29,Diarrhea,"loose motion","Diarrhea involves frequent loose stools. It can cause dehydration.","watery stool|cramps|nausea|fever","ors|rest","clean food","dehydration"
30,Sinusitis,"sinus infection","Sinusitis is inflammation of sinus cavities. It causes congestion and pain.","headache|blocked nose|facial pain|runny nose","steam|warm fluids","avoid cold","severe pain"

31,Eczema,"skin allergy","Eczema is a skin condition causing inflammation and itching. It can be chronic.","itching|dry skin|rash|redness","moisturizer|avoid irritants","skin care","severe rash"
32,Psoriasis,"skin disease","Psoriasis is an autoimmune condition causing rapid skin cell growth. It forms scaly patches.","red patches|scales|itching|dry skin","moisturize|light therapy","avoid triggers","severe spread"
33,Back Pain,"lower back pain","Back pain is common due to muscle strain or posture issues. It affects mobility.","pain|stiffness|limited movement|muscle spasms","rest|heat therapy|exercise","proper posture","severe pain"
34,Eye Infection,"conjunctivitis|pink eye","Eye infection causes redness and irritation. It can be contagious.","redness|itching|watering|discharge","wash eyes|rest","avoid touching","vision issue"
35,Ear Infection,"otitis","Ear infection causes pain and sometimes fever. Common in children.","ear pain|fever|hearing issue|irritability","warm compress|rest","avoid water","hearing loss"
36,Tooth Decay,"cavity","Tooth decay damages tooth enamel. It leads to cavities.","tooth pain|sensitivity|holes|bad breath","brush teeth|salt rinse","avoid sugar","severe pain"
37,Kidney Stones,"renal stones","Kidney stones are hard deposits in kidneys. They cause severe pain.","pain|blood urine|nausea|vomiting","hydration|lemon water","avoid salt","severe pain"
38,Liver Disease,"fatty liver","Liver disease affects liver function. It may be due to lifestyle or infection.","fatigue|jaundice|abdominal pain|swelling","healthy diet","avoid alcohol","severe symptoms"
39,Cholesterol,"high cholesterol","High cholesterol leads to fat buildup in blood vessels. It increases heart risk.","no symptoms|fatigue","diet control|exercise","healthy lifestyle","heart issues"
40,Vertigo,"dizziness disorder","Vertigo causes spinning sensation. It affects balance.","dizziness|nausea|imbalance|headache","rest|hydration","avoid sudden moves","frequent dizziness"

41,Appendicitis,"appendix inflammation","Appendicitis is inflammation of appendix. It requires urgent treatment.","abdominal pain|nausea|vomiting|fever","none","avoid delay","severe pain"
42,Hepatitis,"liver infection","Hepatitis is inflammation of liver caused by viruses. It affects liver health.","jaundice|fatigue|dark urine|nausea","rest|hydration","vaccination","severe symptoms"
43,Tuberculosis,"tb|lung tb","TB is bacterial infection affecting lungs. It spreads through air.","cough|weight loss|fever|night sweats","nutrition|rest","avoid contact","persistent cough"
44,HIV/AIDS,"hiv infection","HIV weakens immune system. AIDS is advanced stage of infection.","fever|weight loss|infections|fatigue","medication adherence","safe practices","severe infections"
45,Parkinson’s Disease,"parkinsons","Neurological disorder affecting movement. It progresses over time.","tremor|slow movement|stiffness|balance issues","exercise|therapy","medical care","worsening symptoms"
46,Alzheimer’s,"memory loss disease","Alzheimer’s affects memory and thinking. It worsens gradually.","memory loss|confusion|behavior change","mental exercises","support care","severe decline"
47,Gout,"uric acid arthritis","Gout causes sudden joint pain due to uric acid buildup.","joint pain|swelling|redness","hydration|diet","avoid purines","severe pain"
48,Lupus,"autoimmune disease","Lupus is autoimmune disease attacking body tissues. It affects multiple organs.","fatigue|joint pain|rash|fever","rest|diet","avoid sunlight","organ damage"
49,Pancreatitis,"pancreas inflammation","Pancreatitis is inflammation of pancreas affecting digestion. It can be acute or chronic.","abdominal pain|nausea|vomiting|fever","fasting|hydration","avoid alcohol","severe pain"
50,Epilepsy,"seizure disorder","Epilepsy is neurological disorder causing seizures. It affects brain activity.","seizures|confusion|staring spells|loss awareness","medication adherence","avoid triggers","frequent seizures"
